idx,Maladie,Symptomes,raisons,Tests et procédures,Médicaments courants
662,Troubles de la vulve,"[« lésion cutanée », « écoulement vaginal », « irritation vulvaire », « plaie vulvaire », « douleur vaginale », « croissance cutanée », « démangeaisons vaginales », « miction douloureuse », « douleur durant les rapports sexuels », « douleur pelvienne », « lump ou masse de poitrine », « sécheresse cutanée, pelage, étirement ou rugosité »]","La vulve est la partie externe d'une femme\xe2\x80\x99s organes génitaux. Certains problèmes que vous pouvez avoir avec la zone vulvaire comprennent les infections bactériennes ou fongiques Problèmes de peau dus à l'allergie Cancer de vulvodynie Vulvodynie, également appelée «douleur vers le bas» ou «douleur féminine» Les symptômes peuvent inclure rougeur, démangeaisons, douleur ou fissures dans la peau. Le traitement dépend de la cause.","['Examen du bassin', 'Urinalyse', 'Biopsy', 'Examen physique complet de la peau effectué (ML)', 'Excision (Suppression)', 'Examination du sein', 'Examen rectal']","['Estrogens, conjugués (Usp) (Prémarin)', 'Estradiol', 'Fluconazole (Diflucan)', 'Valacyclovir (Valtrex)', 'Norethindrone (Loestrin Fe)', 'Midrin', 'Metronidazole Topical Product', 'Dandelion Extract', 'Etonogestrel (Implanon)', 'Sibutramine (Meridia)', 'Acide acétique Topique']"
663,Insuffisance en vitamine B,"['Grossissements', 'Souffrance d'eau', 'Réaction allergique', 'Difficulté à parler', 'Headache', 'Crampes musculaires, contractures ou spasmes', 'Vomissements', 'Toux', 'Nausée', 'Soufflement de genou', 'Mouvements involontaires anormaux', 'Soufflement de hanche']","Les vitamines B sont un groupe de vitamines solubles dans l'eau qui jouent un rôle important dans le métabolisme des cellules. Les vitamines B étaient autrefois considérées comme une seule vitamine, appelée vitamine B (par exemple, on parle de vitamine C). Des recherches ultérieures ont montré qu'il s'agit de vitamines chimiquement distinctes qui coexistent souvent dans les mêmes aliments. En général, les suppléments contenant les huit sont appelés complexe de vitamine B. Les suppléments vitaminiques B individuels sont désignés par le nom spécifique de chaque vitamine (p. ex., B1, B2, B3, etc.).","['Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Mesure du glucose (Niveau de glucose)', 'Remplacement de liquide intraveineux', 'Electrolytes panel', 'Mesure de l'hémoglobine A1c (Test de l'hémoglobine A1c)', 'Autres procédures diagnostiques (entrevue; évaluation; consultation)']","['Vitamine B 12', 'Ergocalciferol', 'Acide Folique', 'Butenafine Topical', 'Ursodiol (Urso)', 'Pyridoxine', 'Indomethacine', 'Potassium Chloride', 'Carbamazépine', 'Fénofibrate (Trricor)', 'Triamcinolone', 'Moxifloxacine (Avelox)']"
664,Sialoadenite,"['Oedème périphérique', 'Malheur faciale', 'Nœuds lymphatiques de loupe', 'Malheur artérielle', 'Gonflement du cou', 'Gonflement du cou', 'Gonflement du cou', 'Gonflement du cou', 'Gonflement du cou', 'Gonflement du cou', 'Gonflement du cou', 'Gonflement du cou', 'Gonflement du cou', 'Toux', 'Difficulté à avaler', 'Gonflement du nez']","La sialadenite (siloadénite) est une inflammation d'une glande salivaire. Elle peut être subdivisée temporellement en formes aiguës, chroniques et récurrentes.","['Tomographie à rayons X (Scan ct)', 'Remplacement intraveineux des fluides', 'Calibre de la tête (tête ct)', 'Culture de sang', 'Examen et évaluation ophtalmiques (examen Eye)', 'Trachéoscopie et laryngoscopie avec biopsie', 'Autres interventions thérapeutiques OU sur le nez; bouche et pharynx']","['Clindamycine', 'Augmentin', 'Zosyn', 'Olopatadine Nasal', 'Ciclesonide Nasal', 'Terbinafine (Lamisil)', 'Cefadroxil', 'Iohexol (Omnipaque)']"
665,Gynécomastie,"[«Problèmes de forme ou de taille du sein», «Lump ou masse du sein», «Malheur au dos», «douleur ou douleur du sein», «Malheur au cou», «Grâce au poids», «Gonflement de la peau», «Les seins sont douloureux», «Bouton du ventre irrégulier»]","Gynécomastie /\xcb\x8c\xc9\xa1a\xc9\xxaan\xc9\xa8k\xc9\xb5\xcb\x88m\xc3\xa6sti\xc9\x99/ est l'élargissement bénin des tissus mammaires chez les mâles. Il peut survenir transitoirement chez les nouveau-nés. La moitié ou plus des garçons adolescents ont un certain développement mammaire pendant la puberté. Gynécomastie peut apparaître comme une condition anormale associée à une maladie ou des troubles métaboliques, comme un effet secondaire de la médication, ou comme une conséquence de la diminution naturelle de la production de testostérone chez les mâles plus âgés.","['Examination du sein', 'Examen physique complet de la peau effectué (ML)', 'Mammographie (Mammographie)', 'Autres interventions thérapeutiques OU sur la peau et le sein', 'Biopsy', 'Excision (Suppression)', 'Hémoglobine A1c mesurage (Hémoglobine a1c test)']","['Cefazolin', 'Propofol', 'Exénatide (Byetta)', 'Tamoxifen', 'Dutasteride (Avodart)', 'Pegvisomant (Somavert)', 'Zileuton (Zyflo)', 'Thiopental (Pentothal)', 'Vecuronium', 'Biotin']"
666,Infection urinaire,"['Urination douloureuse', 'Suprapubic pain', 'Sharp abdominal pain', 'Fièvre', 'Vomissement', 'Malheur au dos', 'Nausée', 'Blood in urining', 'Side pain', 'Retention of urining', 'Lower abdominal pain']","Une infection des voies urinaires (UTI) (également connue sous le nom de cystite aiguë ou infection de la vessie) est une infection qui affecte une partie des voies urinaires. Lorsqu'elle affecte les voies urinaires inférieures, elle est connue sous le nom de cystite simple (infection de la vessie) et lorsqu'elle affecte les voies urinaires supérieures, elle est connue sous le nom de pyélonéphrite (infection rénale).","['Urinalysis'', 'Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Remplacement de liquide intraveineux', 'Mesure du glucose (Niveau de glucose)', 'Tests de fonction de Kidney (Test de fonction de Kidney)', 'Electrolytes panel']","['Ciprofloxacine', 'Bactrim', 'Nitrofurantoïne', 'Levofloxacine (Levaquin)', 'Phenazopyridine (Azo)', 'Trimethoprim', 'Cefixime (Suprax)', 'Oxacillin', 'Cefpodoxime', 'Clofazimine']"
667,Histoplasmose,"['Lacrimation', 'Ache over', 'Toux', 'Double vision', 'Eye rougeness', 'Decreated appétit', 'Vision diminuée', 'Elbow crampes or spasms', 'Elbow faiblesse', 'Excessive croissance', 'Low back faiblesse', 'Sentiment chaud et froid']","L'histoplasmose (également connue sous le nom de «maladie de la vessie», «maladie de Darling», «maladie de la vallée de l'Ohio», «résiculoendothéliosis», «Spelunker\xe2\x80\x99s Lung» et la maladie de Caver\) est une maladie causée par le champignon Histoplasma capsulatum. Les symptômes de cette infection varient considérablement, mais la maladie touche principalement les poumons.","['Plain x-ray (X ray)', 'Excision (Suppression)', 'Examination du sein', 'Lipid panel', 'X-ray calculated tomography (Scan ct)', 'Ophtalmologic and otologic diagnostic and treatment', 'Ophtalmic examen and evaluation (Eye examen)']","['Itraconazole', 'Metoprolol', 'Buspirone (Buspar)', 'Kaletra', 'Cetirizine (Zyrtec)', 'Esomeprazole (Nexium)', 'Pyrimethamine', 'Lecithine', 'Ethambutol', 'Atovaquone', 'Leflunomide (Arava)']"
668,Erythème multiforme,"['Éruption cutanée', 'Fièvre', 'Démangeaisons de la peau', 'Coryza', 'Lésion cutanée', 'Vomissement', 'Urgescence de la peau', 'Skin pain', 'Pain dans les yeux', 'Fluide rétention', 'Réaction allergique', 'Difficulté à avaler']","L'érythème multiforme est une affection cutanée de cause inconnue, probablement médiée par le dépôt d'un complexe immunitaire (principalement IgM) dans la microvascularité superficielle de la peau et de la muqueuse orale qui suit habituellement une infection ou une exposition au médicament. C'est un trouble courant, avec une incidence maximale dans les deuxième et troisième décennies de vie.","['Examen physique complet de la peau effectué (LM), 'Mesure du glucose (niveau de glucose)', 'Electrolytes panel', 'Tests de la fonction Kidney (Test de la fonction Kidney)', 'Remplacement du liquide intraveineux', 'Tests de la fonction Liver (Test Liver)', 'Insertion du cathéter dans la vessie urinaire']","['Diphénhydramine (Benadryl)', 'Prednisolone', 'Hydroxyzine', 'Reserpine (Hhr)', 'Huile minérale (Stye)', 'Sélénium Sulfide Topical', 'Hydralazine', 'Clotrimazole Topical', 'Labetalol', 'Erythromycine', 'Acyclovir']"
669,Scoliose,"['Malheur au dos', 'Malheur au dos', 'Malheur au dos', 'Malheur au dos', 'Malheur au dos', 'Malheur au dos', 'Gonflement du genou', 'Couleur inhabituelle ou odeur de l'urine', 'Rigidité du genou ou étanchéité', 'Rigidité du pied ou des orteils ou étanchéité', 'Crampes musculaires, contractions ou spasmes', 'Gonflement de l'estomac']","La scoliose (du grec ancien: \xcf\x83\xce\xba\xce\xbf\xce\xbb\xce\xaf\xcf\x89\xcf\x83\xce\xb9\xcf\x82 skoliosis ""obliquity, flexion"") est une condition médicale dans laquelle la colonne vertébrale d'une personne est courbée de côté. Bien qu'il s'agisse d'une déformation tridimensionnelle complexe, sur une radiographie, vue de l'arrière, la colonne vertébrale d'un individu avec scoliose peut ressembler plus à un ""S"" ou à un ""C"", plutôt qu'à une ligne droite.","[«Procédure d'imagerie radiographique», «rayon X delain» (rayon X), «exercices de thérapie physique (exercices)», «imagerie par résonance magnétique (Mri)», «Autres procédures diagnostiques (entrevue; évaluation; consultation)», «Autres procédures thérapeutiques», «Autres thérapies physiques et réadaptation»]","['Glycopyrrolalate', 'Levocarnitine', 'acétylcystéine', 'Drospirenone', 'Pénicillamine (Depen)', 'Potassium Phosphate', 'Bosentan (Tracleer)']"
670,"Légumes et légumes, y compris les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre, les pommes de terre et les pommes de terre","[« Douleurs de la poitrine ou des orteils », « masse ou masse de la poitrine ou de l'orteil », « Douleur de la poitrine », « Problèmes avec mouvement », « Peau sur la jambe ou le pied » semble infectée, « Paille de la peau », « Gonflement de la peau », « Gonflement de la peau », « Gonflement de la peau », « Gonflement de la peau », « Peau ou douleur du sein », « Irritation de la peau », « Gonflement de la peau ou de l'orteil »]","Une difformité Hallux abducto valgus, communément appelée bunion, est une difformité caractérisée par une déviation latérale du grand orteil, souvent décrite à tort comme un élargissement de l'os ou du tissu autour de l'articulation à la tête du gros orteil.","['Plain radiographie (rayon X)', 'Examination du pied', 'Excision (Suppression)', 'Examen physique complet de la peau effectué (ML)', 'Bunionectomie ou réparation des déformations des orteils', 'Gestion des soins de la plaie', 'Traction; attelles; et autres soins de la plaie']","['Bupivacaine', 'Midazolam (Versed)', 'Propofol', 'Cefazolin', 'Indomethacine', 'Estrone (Estrogénique)', 'Trolamine Salicylate Topical', 'Flumazenil', 'Neostigmine', 'Ferrous Sulfate', 'Econazole Tophal', 'Dexméthylphénidate (Focalin)']"
671,Arythmie,"['Palpitations', 'Sharp poitrine douleur', 'Sourdissements', 'Hygiènes irrégulières', 'Augmentation de la fréquence cardiaque', 'Suffisance respiratoire', 'Difficulté respiratoire', 'Faim', 'Faiblesse', 'Chest pressure', 'Fatigue', 'Crampes ou spasmes']","La dysrythmie cardiaque (également connue sous le nom d'arythmie ou de battements cardiaques irréguliers) est l'une des maladies d'un groupe important et hétérogène dans lequel il y a une activité électrique anormale dans le cœur. Le battement cardiaque peut être trop rapide ou trop lent, et peut être régulier ou irrégulier. Un battement cardiaque trop rapide est appelé tachycardie et un battement cardiaque trop lent est appelé bradycardie. Bien que de nombreuses arythmies ne mettent pas la vie en danger, certains peuvent provoquer un arrêt cardiaque.","['Electrocardiogramme', 'Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Procédure d'imagerie radiographique', 'Mesure du glucose (Niveau de glucose)', 'Plain x-ray (rayon X)', 'Remplacement du liquide intraveineux']","['Diltiazem', 'Amiodarone', 'Isosorbide', 'Flecainide', 'Adénosine', 'Sotalol', 'Propafenone', 'Mexilétine', 'Cilostazol', 'Metolazone', 'Ibutilide', 'Dronedarone (Multaq)']"
672,Maladie de Paget,"[« Sons respiratoires anormaux », « Douleurs dorsales », « Apnée », « Douleurs dorsales faibles », « Mictions fréquentes », « Sleepness », « Peau apparente anormale », « Douleurs partout », « Ring in ear », « Déliciations ou hallucinations », « Crampes ou spasmes des oreilles », « Nailbiting »]","Sir James Paget, chirurgien et pathologiste, a décrit plusieurs maladies, dont :","['Tests hématologiques (Test de sang)', 'Complete hémorragique (Cbc)', 'Bone density scan', 'Sigmoidoscopy or coloscopy', 'Lipid panel', 'Pelvis exam', 'Examen microscopique (glace bactérienne; culture; toxicologie)']","['Alendronate', 'Amlodipine', 'Célécoxib (Celebrex)', 'Rispéridone', 'Alfuzosine (uroxatral)', 'Timolol', 'Memantine (Namenda)', 'Colchicine', 'Sennosides, Usp (Perdiem)', 'Hydralazine']"
673,Névralgie trigéminale,"[« Douleur faciale », « Mal de tête », « Vertiges », « Perte de sensation », « Symptômes du visage », « Douleur partout », « Douleur dans les yeux », « Toothache », « Paresthésie », « Mouvements involontaires anormaux », « Oeil loupé », « Douleur de la Tongue »]","La névralgie trigéminale (TN, ou TGN), également connue sous le nom de prosopalgie, maladie suicidaire, ou maladie de Fothergill\ est un trouble neuropathique caractérisé par des épisodes de douleur intense au visage, provenant du nerf trigéminal. L'association clinique entre le TN et le spasme hémifacial est le soi-disant tic douloureux. Il a été décrit comme l'un des états les plus douloureux connus de l'humanité. On estime que 1 sur 15 000 ou 20 000 personnes souffrent de TN, bien que le chiffre réel puisse être significativement plus élevé en raison d'un mauvais diagnostic fréquent.","[« Imagerie par résonance magnétique (Mri) », « Autres procédures du système nerveux thérapeutique OU », « Diagnostic et traitement ophtalmologiques et otologiques », « Autres procédures du système nerveux non-OR ou du système nerveux fermé », « Autres techniques de diagnostic et techniques connexes », « Électroencéphalogramme (EEG) (Eeg) »]","['Carbamazépine', 'Gabapentin', 'Oxcarbazépine (Trileptal)', 'Pregabaline (Lyrica)', 'Baclofen', 'Lamotrigine (Lamictal)', 'Eletriptan (Relpax)', 'Desloratadine (Clarinex)', 'Butalbital (G-1)', 'Entacapone (Comtan)', 'Bromocriptine']"
674,Spondylarthrite ankylosante,"['Malheur au dos', 'Malheur au dos', 'Malheur au genou', 'Malheur au genou', 'Malheur au genou', 'Malheur au ventre', 'Malheur au ventre', 'Malheur au ventre', 'Malheur au sein', 'Paresthésie', 'Malheur au rib', 'Malheur au ventre']","La spondylarthrite ankylosante (AS, à partir d'ankylos grecs, tordus; spondylos, vertèbres; -itis, inflammation), précédemment connue sous le nom de maladie de Bechterew, (ou syndrome) et Marie-Str\xc3\xbcmpell maladie, est une maladie inflammatoire chronique du squelette axial avec une implication variable des articulations périphériques et des structures non articulaires. AS est une forme de spondyloarthrite, une arthrite chronique et inflammatoire où les mécanismes immunitaires sont censés avoir un rôle clé. Il affecte principalement les articulations dans la colonne vertébrale et l'articulation sacroiliaque dans le bassin, et peut causer une éventuelle fusion de la colonne vertébrale.","[« Exercices de thérapie physique (exercices) », « Imagerie par résonance magnétique (Mri) », « Insertion du cathéter ou du stimulateur médullaire et injection dans le canal médullaire », « Autres procédures non-OR thérapeutiques sur le système musculo-squelettique », « Autres procédures thérapeutiques », « Analyse de densité osseuse », « Autres procédures non-OR ou système nerveux thérapeutique fermé »]","['Triamcinolone Topical Product', 'Infliximab (Remicade)', 'Methotrexate', 'Bupivacaine', 'Mepivacaine (Carbocaine)', 'Etanercept (Enbrel)', 'Piroxicam', 'Tizanidine', 'Sulfasalazine', 'Iohexol (Omnitaque)', 'Indomethacine', 'Ethanol (Sur garde)']"
675,Affections nerveuses périphériques,"['Perte de sensation', 'Maladie de sang', 'Paresthésie', 'Maladie de pied ou d'orteil', 'Grossissement', 'Maladie de dos', 'Maladie de sang', 'Maladie de sang', 'Movements involontaires abnormaux', 'Faiblesse de sang', 'Disturbance de mémoire', 'Faible de sang']","La neuropathie périphérique est une atteinte aux nerfs du système nerveux périphérique, qui peut être causée soit par des maladies du nerf, soit par un traumatisme du nerf, soit par les effets secondaires d'une maladie systémique.","[«Autres procédures diagnostiques (entrevue; évaluation; consultation)», «imagerie par résonance magnétique (Mri)», «mesure de l'hémoglobine A1c (test de l'hémoglobine A1c)», «exercices de thérapie physique (exercices)», «Plaque lipide», «Examination du pied», «Criblage de dépression»]","['Gabapentin', 'Pregabaline (Lyrica)', 'Duloxétine (Cymbalta)', 'Amitriptyline', 'Nortriptyline', 'Ropinirole', 'Ténofovir', 'Lamivudine', 'Capsaicin Topical', 'Ubiquinone (Q10)']"
676,Kyste sébacé,"['Croissance de la peau', 'Gonflement de la peau', 'Lésion de la peau', 'Peau apparente anormale', 'Massité du cou', 'Massité du dos', 'Acné ou boutons', 'Masse ou masse du bras', 'Masse ou masse du sein', 'Mâles de la peau', 'Masses du cuir chevelu qui apparaissent irrégulièrement', 'Masse ou masse du doigt']","Un kyste sébacé /s\xc9\xaa\xcb\x88be\xc9\xaa\xca\x83\xc9\x99s s\xc9\xaast/ est un terme qui se réfère vaguement à des kystes épidermoïdes (également appelés kystes épidermiques; L72.0) ou à des kystes de pilar (également appelés kystes trichilemmiques; L72.1). Parce qu'un kyste épidermoïde provient de l'épiderme et d'un kyste de pilar provenant de follicules pileux, par définition, ni l'un ni l'autre type de kyste n'est strictement un kyste sébacé.","['Examen physique complet de la peau effectué (LM), 'Excision (Suppression)', 'Gestion des soins auditifs', 'Excision de la lésion cutanée', 'Biopsy', 'Autres procédures diagnostiques sur la peau et le tissu sous-cutané', 'Incision et drainage (I d)']","['Tretinoin Topical', 'Clindamycin Topical Product', 'Tacrolimus Topical Product', 'Hexachlorophène Topical', 'Benzoyl Peroxide-Erythromycin Topical', 'Alunum Acetate Topical', 'Procaine (Novocaine)', 'Indinavir']"
677,Empoisonnement dû à des antipsychotiques,"['Anxiété et nervosité', 'Symptômes dépressifs ou psychotiques', 'Dépression', 'Déliciations ou hallucinations', 'Sleepness', 'Doublures', 'Lésions de lagongue', 'Sharp thorax pain', 'Difficulté à parler', 'Faim', 'Insomnie', 'Chest pressure']","benztropine,","['Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Electrocardiogramme', 'Urinalyse', 'Remplacement de liquide intraveineux', 'Toxicologie', 'Tests de fonction Kidney (Test de fonction Kidney)']","['Charcoal', 'Benztropine', 'Divalproex Sodium (Depakote)', 'Flumazenil', 'Naloxone (Suboxone)', 'Sorbitol', 'Sodium Bicarbonate', 'Cefuroxime', 'Thiamine', 'Propofol', 'Haloperidol']"
678,Maladie de Behcet,"[Vomissements, Douleurs abdominales supérieures, Douleurs abdominales sharp, Diarrhée, Dépression, Anxiété et nervosité, Vision diminuée, Ulcère de Mouth, Toux, Douleur du cou, Blindness, Essoufflement]","Le syndrome de Behcet\ est une maladie qui implique l'inflammation des vaisseaux sanguins. Il cause des problèmes dans de nombreuses parties du corps. Les symptômes les plus courants sont les plaies dans la bouche Douleurs sur les organes sexuels Autres plaies cutanées Gonflement de certaines parties de l'œil Douleur, gonflement et raideur des articulations Plus de problèmes graves peuvent inclure la méningite, les caillots sanguins, l'inflammation du système digestif et la cécité. Les médecins ne sont pas sûrs des causes de Behcet\'s. Il est rare aux États-Unis, mais est commun au Moyen-Orient et en Asie. Il affecte principalement les gens dans les années 20 et 30. Diagnostic Behcet\'s peut prendre un long temps, parce que les symptômes peuvent venir et aller, et il peut prendre des mois ou même des années pour avoir tous les symptômes. Il n'y a pas de remède. Le traitement se concentre sur la réduction de la douleur et la prévention de problèmes graves. NIH: National Institute of Arthritis and Musculoskelettal and Skin Diseases","['Procédures diagnostiques sur le nez; bouche et pharynx', 'Autres procédures thérapeutiques', 'Biopsy', 'Excision (Suppression)', 'Psychothérapie', 'Transplantation cornéenne', 'Procédures sur la rate']","['Alendronate', 'Lidocaine', 'Calcifediol', 'Ferric Subsulfate Topical', 'Iopamidol (Isovue)', 'Clorazepate', 'Infliximab (Remicade)', 'Tacrolimus (Prograf)', 'Budesonide Nasal Product', 'Ropinirole']"
679,Névrose,"['Symptômes dépressifs ou psychotiques', 'Dépression', 'anxiété et nervosité', 'comportement hospitalier', 'Déliciations ou hallucinations', 'Headache', 'Gorge excessive', 'Insomnie', 'abus de drogues', 'Obsessions et contraintes', 'problèmes températifs', 'problèmes du tabac']","La névrose est une classe de troubles mentaux fonctionnels impliquant la détresse, mais pas des illusions ni des hallucinations, où le comportement n'est pas en dehors des normes socialement acceptables. Il est également connu comme psychoneurose ou trouble neurotique, et donc ceux qui en souffrent sont dits névrosés. Le terme décrit essentiellement une « blessure invisible » et l'état résultant.","['Tests hématologiques (Test de la longueur)', 'Complètement de la numération sanguine (Cbc)', 'Urinalyse', 'Tests de la fonction Kidney (Test de la fonction Kidney)', 'Mesure du glucose (Niveau de glucose)', 'Electrolytes panel', 'Toxicologie screen']","['Divalproex Sodium (Depakote)', 'Rispéridone', 'Benztropine', 'Haloperidol', 'Olanzapine (Zyprexa)', 'Lithium (Li)', 'Charcoal', 'Chlordiazepoxide', 'Fluphenazine (Prolixin)', 'Valproic Acid', 'Naloxone (Suboxone)', 'acétylcysteine']"
680,Cancer de la prostate,"['Retention de l'urine', 'Blood in urining', 'Symptômes de la prostate', 'Fréquemment miction', 'Involontaire miction', 'Impotence', 'Uination excessive la nuit', 'Flushing', 'Symptômes de la vessie', 'Paine pendant les rapports sexuels']","Le cancer de la prostate est une forme de cancer qui se développe dans la prostate, une glande dans le système reproducteur masculin. La plupart des cancers de la prostate sont en croissance lente; cependant, il y a des cas de cancers agressifs de la prostate. Les cellules cancéreuses peuvent métastaser (s'étendre) de la prostate à d'autres parties du corps, en particulier les os et les ganglions lymphatiques.","[«Tests hématologiques (Test de sang)», «Mesure de l'antigène spécifique à la prostate (Test de l'antigène spécifique à la prostate)», «Urinalyse», «Examen rectal», «Ultrasonographie (Ultrasound)», «Autres procédures diagnostiques (entrevue; évaluation; consultation)», «Biopsy»]","['Leuprolide (Lupron)', 'Tamsulosin (Flomax)', 'Bicalutamide (Casodex)', 'Sildenafil (Viagra)', 'Zolédronic Acid (Reclast)', 'Tadalafil (Cialis)', 'Finasteride (Propecia)', 'Triptorelin', 'Paclitaxel (Taxol)', 'Goserelin (Zoladex)', 'Vardenafil (Levitra)', 'Dutasteride (Avodart)']"
681,Oedème cérébral,"['Headache', 'Malheur au cou', 'Faiblesse focale', 'Vision diminuée', 'Vomissements', 'Difficulté à parler', 'Perte de sensation', 'Nausée', 'Problèmes avec mouvement', 'Étournements', 'Rigidité musculaire ou oppression', 'Malheur au bras']",oedème cérébral ou \xc5\x93dema cérébral est une accumulation excessive de liquide dans les espaces intracellulaires ou extracellulaires du cerveau.,"['Procédure d'imagerie radiographique', 'Image par résonance magnétique (Mri)', 'Tests de la fonction Kidney (Test de la fonction Kidney)', 'Remplacement du liquide intraveineux', 'Mesure du glucose (Niveau du glucose)', 'Scan CAT de la tête (Head ct)', 'Tomographie calculée par rayons X (Scan ct)']","['Ipratropium', 'Fluconazole (Diflucan)', 'Topiramate (Topamax)', 'Docusate (Colace)', 'Lansoprazole (Prevacid)', 'Labetalol', 'Lamotrigine (Lamictal)', 'Amitriptyline', 'Mannitol', 'Somatropine', 'Minoxidil (Rogaine)']"
682,Déplacement du doigt,"[« Douleur de main ou de doigt », « Gonflement de main ou de doigt », « Rigidité ou étanchéité des mains ou des doigts », « Douleur de poignet », « Difficulté à parler », « Douleur de jointure », « Comportement hystérique »]","povidone iode topique (bétadine),","['Procédure d'imagerie radiographique', 'Plain x-ray (X ray)', 'Application de l'attelle (Splinting)', 'Suturation de la plaie', 'Évaluation de la thérapie d'occupation (Speech Therapy)', 'Autres procédures non-OR thérapeutiques sur le système musculo-squelettique', 'Moulage orthopédique']","['Cefazolin', 'Povidone Iodine Topical (Betadine)', 'Tocilizumab (Actemra)', 'Pentazocine (Talwin)', 'Neomycine (Septa)', 'Pirbuterol (Maxair)', 'Ketamine']"
683,Traumatisme à la naissance,"['Symptômes dépressifs ou psychotiques', 'Gonflement nasal', 'Difficulté à parler', 'Put in sputum', 'Symptômes émotionnels', 'Démangeaisons de scrotum', 'Gonflement musculaire', 'Crampes ou spasmes d'Elbow', 'Faible faiblesse du dos']",Les traumatismes à la naissance peuvent se rapporter à:,"['Exercices de thérapie physique (exercices)', 'Autres procédures de diagnostic (entrevue; évaluation; consultation)', 'Examen physique complet de la peau effectué (LM)', 'Autres thérapies physiques et réadaptation', 'Referral to home health service', 'Évaluation de la thérapie professionnelle (thérapie de synthèse)', 'Diagnostic et traitement ophtalmologiques et otologiques']","['Zidovudine', 'Phenobarbital', 'Carbamazépine', 'Nystatine Topical Product', 'Mecamylamine', 'Grepafloxacine (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)', 'Gadoteridol (Prohance)', ""Devil\\'S Claw Preparation""]"
684,Pancréatite chronique,"['Sharp abdominal pain', 'Vomissement', 'Nausée', 'Maladie partout', 'Soufflement abdominal pain', 'Diarrhée', 'Maladie du dos', 'Soufflement abdominal intense', 'Consommation d'alcool', 'Regiration', 'Légère faiblesse', 'Peau de croissance']","La pancréatite chronique est une inflammation du pancréas de longue date qui modifie sa structure et ses fonctions normales. Elle peut se présenter comme des épisodes d'inflammation aiguë dans un pancréas précédemment blessé, ou comme des dommages chroniques avec douleur persistante ou malabsorption.","['Tests hématologiques (Test de sang)', 'Compléter la numération sanguine (Cbc)', 'Mesure du glucose (Niveau de glucose)', 'Remplacement du liquide intraveineux', 'Electrolytes panel', 'Tests de fonction Kidney (Test de fonction Kidney)', 'Tests de fonction Liver (Test deiver)']","['Hydromorphone (Dilaudid)', 'Pantoprazole', 'Oxycodone', 'Pancrelipase (Pancrase)', 'Pancreatin', 'Methadone', 'Megestrol (Megace)', 'Sucralfate (Carafate)', 'Bisacodyl (The Magic Bullet)', 'Sennosides, Usp (Perdiem)', 'Thiamine']"
685,Hématome,"['Sharp abdominal pain', 'A mal partout', 'Groin pain', 'Oedème périphérique', 'Lump ou masse de poitrine', 'Peau anormale apparaissant', 'Gonflement des bras', 'Conservation des fluides', 'Gonflement du scrotum', 'Lymphédème', 'Distention abdominale', 'Gonflement de la peau']","Un hématome ou hématome, est une collecte localisée de sang à l'extérieur des vaisseaux sanguins, généralement sous forme liquide dans le tissu. Une ecchymose, communément appelée ecchymose, est un hématome de la peau de plus de 10mm. Le saignement interne est généralement considéré comme une propagation du sang à l'intérieur de l'abdomen ou du crâne, pas à l'intérieur du muscle.","['Gestion des soins auditifs', 'Examen physique complet de la peau effectué (ML)', 'Tomographie à rayons X (Scan ct)', 'Examination du sein', 'Ultrasonographie (Ultrasound)', 'Culture de sang', 'Test de la prothrombine (Temps de prothrombine)']","['Buspirone (Buspar)', 'Nadolol', 'Thyroid (Usp) (Armour Thyroïde)', 'Benzolatate', 'Tigecycline', 'Anagrelide', 'Sodium Hypochlorite Topical', 'Lutein', 'Carboplatine', 'Alfuzosine (uroxatral)']"
